Formula,avg % of optimum found,exact optimums found,blunders
wuf50-0548.mwcnf,40.5734249171009,0,0
wuf50-0604.mwcnf,65.17729437027354,0,0
wuf50-0434.mwcnf,46.48067480800705,5,0
wuf50-0300.mwcnf,56.98897444872244,1,0
wuf50-0196.mwcnf,39.983826298881134,1,0
wuf50-0252.mwcnf,42.12971268049874,1,0
wuf50-0884.mwcnf,54.0154968094804,21,0
wuf50-0772.mwcnf,19.413461538461537,15,0
wuf50-0406.mwcnf,35.77669468789125,0,0
wuf50-0437.mwcnf,22.822949161116263,2,0
wuf50-0162.mwcnf,37.71953010279001,8,0
wuf50-0278.mwcnf,34.91143533123028,2,0
wuf50-0389.mwcnf,39.734347048300535,5,0
wuf50-096.mwcnf,53.75596389426177,2,0
wuf50-0989.mwcnf,51.07786458333333,0,0
wuf50-0284.mwcnf,81.71755490708033,7,0
wuf50-0509.mwcnf,53.59854184441169,3,0
wuf50-0328.mwcnf,50.84807916181607,1,0
wuf50-0625.mwcnf,69.86420922960296,6,0
wuf50-0608.mwcnf,41.161847672778556,1,0
wuf50-0293.mwcnf,50.36125273124545,1,0
wuf50-0760.mwcnf,45.22781812440796,1,0
wuf50-0120.mwcnf,26.74928503336511,0,0
wuf50-0495.mwcnf,76.90810810810811,76,0
wuf50-0129.mwcnf,58.341911764705884,22,0
wuf50-0144.mwcnf,58.91186876809264,13,0
wuf50-0444.mwcnf,52.573230730415034,0,0
wuf50-0372.mwcnf,58.626204238921,0,0
wuf50-0185.mwcnf,55.68331950207469,0,0
wuf50-0344.mwcnf,55.49803149606299,53,0
wuf50-0343.mwcnf,53.61728957763597,0,0
wuf50-041.mwcnf,45.77416356877324,8,0
wuf50-068.mwcnf,38.37823671244365,4,0
wuf50-0568.mwcnf,69.93169398907104,38,0
wuf50-0987.mwcnf,61.16764705882353,29,0
wuf50-0814.mwcnf,24.041527870308684,6,0
wuf50-0759.mwcnf,49.32430143945808,2,0
wuf50-029.mwcnf,71.97663469921535,9,0
wuf50-0979.mwcnf,74.36959064327485,0,0
wuf50-0889.mwcnf,53.65537106065741,1,0
wuf50-0233.mwcnf,58.52594454920037,0,0
wuf50-0171.mwcnf,57.342524027099415,3,0
wuf50-0949.mwcnf,69.0020642878207,2,0
wuf50-0887.mwcnf,50.86392347951633,1,0
wuf50-0654.mwcnf,56.912850812407676,0,0
wuf50-039.mwcnf,48.20427092320966,0,0
wuf50-0811.mwcnf,42.09881450010279,0,0
wuf50-0531.mwcnf,47.8345891639756,5,0
wuf50-0482.mwcnf,61.49711859265999,0,0
wuf50-0825.mwcnf,70.88688212927757,24,0
wuf50-0313.mwcnf,78.93129118867463,5,0
wuf50-0631.mwcnf,52.20106589147287,15,0
wuf50-0737.mwcnf,65.91536879224215,0,0
wuf50-0739.mwcnf,48.61246200607903,4,0
wuf50-040.mwcnf,50.26790602189781,0,0
wuf50-0229.mwcnf,56.079531812725094,1,0
wuf50-0195.mwcnf,62.16921243635576,1,0
wuf50-0527.mwcnf,51.89188591642716,1,0
wuf50-0545.mwcnf,59.834837545126355,4,0
wuf50-0890.mwcnf,60.903390026611135,10,0
wuf50-0256.mwcnf,61.39353949182588,2,0
wuf50-0929.mwcnf,48.68814159292035,5,0
wuf50-0671.mwcnf,60.3332608222754,0,0
wuf50-0602.mwcnf,59.00129886998311,3,0
wuf50-0428.mwcnf,68.58949129194136,1,0
wuf50-0268.mwcnf,52.37689655172414,4,0
wuf50-0751.mwcnf,30.1907305804216,0,0
wuf50-0688.mwcnf,51.24662977153399,5,0
wuf50-0582.mwcnf,52.07218212104386,2,0
wuf50-0927.mwcnf,64.26905829596413,14,0
wuf50-0660.mwcnf,47.82816901408451,3,0
wuf50-0310.mwcnf,55.45325827362675,0,0
wuf50-0557.mwcnf,70.73175542406311,20,0
wuf50-0883.mwcnf,52.34649262442959,0,0
wuf50-0970.mwcnf,37.638055842812825,3,0
wuf50-0150.mwcnf,39.431715405486884,1,0
wuf50-0823.mwcnf,58.88519243313763,12,0
wuf50-0965.mwcnf,42.3172461116194,4,0
wuf50-0199.mwcnf,45.2162185305703,3,0
wuf50-0879.mwcnf,55.994475138121544,27,0
wuf50-0498.mwcnf,56.199707744763764,0,0
wuf50-0232.mwcnf,22.5030549898167,0,0
wuf50-061.mwcnf,39.12218370883882,14,0
wuf50-042.mwcnf,35.42173112338858,2,0
wuf50-0177.mwcnf,71.83773102406138,15,0
wuf50-0830.mwcnf,59.700706026808554,0,0
wuf50-0785.mwcnf,55.78784067085954,12,0
wuf50-0841.mwcnf,61.34871511467256,1,0
wuf50-0721.mwcnf,64.57006714316657,2,0
wuf50-0401.mwcnf,52.114968347968144,0,0
wuf50-0286.mwcnf,60.023650385604114,22,0
wuf50-0674.mwcnf,62.47571357035553,17,0
wuf50-0285.mwcnf,44.98583859409657,0,0
wuf50-0945.mwcnf,45.80511811023623,11,0
wuf50-0860.mwcnf,55.32963923602924,2,0
wuf50-0176.mwcnf,57.61256544502618,56,0
wuf50-079.mwcnf,51.89917320627803,0,0
wuf50-0338.mwcnf,37.76981414227729,5,0
wuf50-0931.mwcnf,35.63326800587947,2,0
wuf50-093.mwcnf,59.51648351648351,9,0
wuf50-0269.mwcnf,65.16729112026977,1,0
wuf50-0506.mwcnf,65.0881097761145,0,0
wuf50-0251.mwcnf,53.85640411174875,0,0
wuf50-0528.mwcnf,41.089175546831186,11,0
wuf50-0546.mwcnf,58.96828447861605,2,0
wuf50-0271.mwcnf,50.692054343351174,1,0
wuf50-016.mwcnf,57.297141247711586,2,0
wuf50-092.mwcnf,58.15138662316476,0,0
wuf50-087.mwcnf,60.38432835820895,12,0
wuf50-0873.mwcnf,62.95348837209303,61,0
wuf50-0672.mwcnf,57.79893828798938,20,0
wuf50-0484.mwcnf,40.775735294117645,9,0
wuf50-0868.mwcnf,48.75690814040328,6,0
wuf50-0730.mwcnf,43.07612705840007,0,0
wuf50-0646.mwcnf,46.38560055382485,0,0
wuf50-0272.mwcnf,49.73194144468442,7,0
wuf50-090.mwcnf,41.56139719121354,10,0
wuf50-0432.mwcnf,55.27623101702715,1,0
wuf50-0244.mwcnf,44.45588389946367,1,0
wuf50-0275.mwcnf,53.52540076766764,0,0
wuf50-0155.mwcnf,35.33467471495641,10,0
wuf50-0382.mwcnf,43.02654867256637,7,0
wuf50-0464.mwcnf,52.67621899059025,3,0
wuf50-02.mwcnf,46.08781484002723,14,0
wuf50-0971.mwcnf,48.478785900783286,0,0
wuf50-0901.mwcnf,58.664608384790384,4,0
wuf50-0984.mwcnf,51.1320813771518,5,0
wuf50-0485.mwcnf,45.82608695652174,44,0
wuf50-0854.mwcnf,50.89564241630821,4,0
wuf50-0279.mwcnf,53.63138818412468,16,0
wuf50-088.mwcnf,58.100386100386096,6,0
wuf50-0789.mwcnf,56.38846153846154,54,0
wuf50-0533.mwcnf,63.02766085387853,1,0
wuf50-0645.mwcnf,81.59551569506726,7,0
wuf50-0148.mwcnf,12.170666666666666,0,0
wuf50-0373.mwcnf,76.96504992867332,4,0
wuf50-0633.mwcnf,50.916563658838065,11,0
wuf50-0587.mwcnf,43.23646209386282,41,0
wuf50-0624.mwcnf,62.14770607982096,14,0
wuf50-0588.mwcnf,63.46934087294575,5,0
wuf50-0946.mwcnf,62.8096947935368,10,0
wuf50-0133.mwcnf,60.991452991452995,37,0
wuf50-0458.mwcnf,41.22736161251504,0,0
wuf50-0501.mwcnf,69.53808353808354,20,0
wuf50-0152.mwcnf,40.71506085936355,0,0
wuf50-012.mwcnf,47.98416142330223,1,0
wuf50-0239.mwcnf,41.5966391615973,2,0
wuf50-0598.mwcnf,57.60936813428245,0,0
wuf50-0164.mwcnf,52.540175557056045,5,0
wuf50-0245.mwcnf,46.7605857445307,1,0
wuf50-0456.mwcnf,61.57604101088227,8,0
wuf50-0420.mwcnf,42.89031078610603,17,0
wuf50-0923.mwcnf,61.43111831442464,2,0
wuf50-0179.mwcnf,41.50450828265883,3,0
wuf50-0336.mwcnf,50.667343976777936,2,0
wuf50-049.mwcnf,54.810252758988966,1,0
wuf50-0781.mwcnf,48.44344286129689,0,0
wuf50-0801.mwcnf,43.840842311459355,2,0
wuf50-0118.mwcnf,51.65846033606877,15,0
wuf50-075.mwcnf,56.68485915492957,9,0
wuf50-0562.mwcnf,54.43928354584093,4,0
wuf50-0782.mwcnf,57.465300193673336,0,0
wuf50-0427.mwcnf,59.732551143200965,1,0
wuf50-0467.mwcnf,51.36785714285715,49,0
wuf50-0709.mwcnf,45.81851799175082,0,0
wuf50-0725.mwcnf,36.07653656348138,0,0
wuf50-0217.mwcnf,84.88010307880104,33,0
wuf50-0803.mwcnf,42.9144156191495,0,0
wuf50-0451.mwcnf,45.072625698324025,7,0
wuf50-0475.mwcnf,52.195563139931735,0,0
wuf50-0627.mwcnf,55.88245813688831,0,0
wuf50-0326.mwcnf,44.52914160743576,10,0
wuf50-0804.mwcnf,73.2448888225638,1,0
wuf50-0122.mwcnf,66.30143229166667,0,0
wuf50-0773.mwcnf,52.20203836930455,1,0
wuf50-0596.mwcnf,50.180493273542595,0,0
wuf50-0951.mwcnf,43.88212795549374,0,0
wuf50-0921.mwcnf,68.27055788455337,1,0
wuf50-0263.mwcnf,68.38476907707677,23,0
wuf50-0584.mwcnf,45.73186415700985,0,0
wuf50-057.mwcnf,59.26975609756098,11,0
wuf50-0102.mwcnf,60.09371980676328,7,0
wuf50-0812.mwcnf,49.950598802395206,9,0
wuf50-0140.mwcnf,44.76935536119209,0,0
wuf50-089.mwcnf,90.21625630376742,51,0
wuf50-0909.mwcnf,60.30619773733399,4,0
wuf50-0980.mwcnf,63.55000000000001,19,0
wuf50-085.mwcnf,44.73701298701299,1,0
wuf50-0209.mwcnf,63.81591448931116,3,0
wuf50-0525.mwcnf,45.981388219837974,0,0
wuf50-0982.mwcnf,75.32258064516128,28,0
wuf50-0386.mwcnf,40.041658986175115,2,0
wuf50-0593.mwcnf,49.678094867049765,1,0
wuf50-0824.mwcnf,58.9899136844147,0,0
wuf50-0266.mwcnf,52.16453229398664,2,0
wuf50-0378.mwcnf,53.8489,0,0
wuf50-0436.mwcnf,69.6977816824072,33,0
wuf50-0676.mwcnf,70.04165627338489,2,0
wuf50-0669.mwcnf,74.29200631080725,6,0
wuf50-071.mwcnf,41.395773955773954,0,0
wuf50-086.mwcnf,77.22317047151697,46,0
wuf50-0962.mwcnf,50.76370967741936,0,0
wuf50-0678.mwcnf,55.78861347792409,0,0
wuf50-080.mwcnf,47.93869010253191,3,0
wuf50-0753.mwcnf,58.79268376068376,1,0
wuf50-0183.mwcnf,55.33639599370913,0,0
wuf50-0316.mwcnf,57.408310860505026,0,0
wuf50-0520.mwcnf,32.97174617878647,0,0
wuf50-0291.mwcnf,51.15922283134472,0,0
wuf50-0347.mwcnf,40.98613963039014,0,0
wuf50-0425.mwcnf,43.52608105487687,3,0
wuf50-0309.mwcnf,30.541176470588233,1,0
wuf50-0648.mwcnf,47.11810380057213,1,0
wuf50-0916.mwcnf,48.11276618063569,0,0
wuf50-027.mwcnf,56.2964892412231,0,0
wuf50-0513.mwcnf,100.0,100,0
wuf50-0421.mwcnf,65.51930683744585,1,0
wuf50-0414.mwcnf,69.77330604820374,8,0
wuf50-0800.mwcnf,57.48313514322041,0,0
wuf50-0905.mwcnf,66.58796296296296,41,0
wuf50-0961.mwcnf,47.92087542087542,3,0
wuf50-0424.mwcnf,48.73011511325659,0,0
wuf50-0686.mwcnf,62.07274455329726,3,0
wuf50-083.mwcnf,51.15657677490369,0,0
wuf50-0184.mwcnf,43.10531892350075,1,0
wuf50-0579.mwcnf,76.28616305160809,7,0
wuf50-0992.mwcnf,55.571993084712275,0,0
wuf50-0544.mwcnf,67.04386590584879,0,0
wuf50-03.mwcnf,59.97266729500471,0,0
wuf50-0200.mwcnf,59.85065455516965,13,0
wuf50-0312.mwcnf,51.63045685279187,2,0
wuf50-0358.mwcnf,46.00684462696783,8,0
wuf50-0172.mwcnf,38.666666666666664,1,0
wuf50-0505.mwcnf,50.76546391752578,0,0
wuf50-0918.mwcnf,52.503613666228645,0,0
wuf50-0491.mwcnf,60.22016359515128,16,0
wuf50-0845.mwcnf,68.50920084121977,0,0
wuf50-051.mwcnf,54.59810490045942,0,0
wuf50-0840.mwcnf,42.23101092896175,0,0
wuf50-0712.mwcnf,45.35700374531835,2,0
wuf50-0400.mwcnf,44.416566213190976,14,0
wuf50-0683.mwcnf,70.22475247524753,42,0
wuf50-0503.mwcnf,63.57786429365962,17,0
wuf50-0912.mwcnf,66.93268186753528,5,0
wuf50-0769.mwcnf,65.47227926078028,0,0
wuf50-0359.mwcnf,59.10526315789474,24,0
wuf50-018.mwcnf,58.804449985614276,0,0
wuf50-0240.mwcnf,42.22068733153639,2,0
wuf50-0178.mwcnf,41.168421526277896,0,0
wuf50-0920.mwcnf,72.74074074074073,68,0
wuf50-0375.mwcnf,52.31884486497142,2,0
wuf50-0470.mwcnf,54.00982658959538,25,0
wuf50-0964.mwcnf,65.03143712574851,11,0
wuf50-0474.mwcnf,31.340881340881342,8,0
wuf50-010.mwcnf,53.26987792807654,0,0
wuf50-0738.mwcnf,68.32559968541094,11,0
wuf50-0589.mwcnf,49.62505733569229,1,0
wuf50-028.mwcnf,49.14713140037014,1,0
wuf50-0496.mwcnf,65.37865390616872,4,0
wuf50-0441.mwcnf,100.0,100,0
wuf50-0611.mwcnf,60.88095023845946,1,0
wuf50-0597.mwcnf,56.23394370046461,0,0
wuf50-0632.mwcnf,70.82191780821918,70,0
wuf50-0571.mwcnf,65.21813501619198,0,0
wuf50-021.mwcnf,46.38644825018615,3,0
wuf50-0908.mwcnf,41.402590931738914,3,0
wuf50-0768.mwcnf,43.750531753266486,5,0
wuf50-0473.mwcnf,56.18200983836964,5,0
wuf50-0911.mwcnf,61.19639043143956,10,0
wuf50-0744.mwcnf,68.77095868431608,3,0
wuf50-0112.mwcnf,54.242881072026805,8,0
wuf50-0413.mwcnf,52.22007005975686,0,0
wuf50-0220.mwcnf,69.41710057550013,5,0
wuf50-0786.mwcnf,45.07612687813022,1,0
wuf50-0743.mwcnf,43.25158016558355,0,0
wuf50-0784.mwcnf,57.02755543891878,9,0
wuf50-026.mwcnf,46.1183046888036,1,0
wuf50-0726.mwcnf,59.77008144661138,19,0
wuf50-034.mwcnf,56.126500461680514,0,0
wuf50-0851.mwcnf,46.64946553630667,19,0
wuf50-0254.mwcnf,58.94100691775557,0,0
wuf50-0764.mwcnf,57.179150922427205,1,0
wuf50-0255.mwcnf,54.35604427195631,25,0
wuf50-0577.mwcnf,55.503941605839415,0,0
wuf50-0787.mwcnf,59.77919458252287,0,0
wuf50-0132.mwcnf,26.34015927189989,4,0
wuf50-0411.mwcnf,77.51759572072072,0,0
wuf50-0635.mwcnf,44.0876878223817,0,0
wuf50-0919.mwcnf,65.9000091818933,9,0
wuf50-0418.mwcnf,74.66423357664233,74,0
wuf50-0193.mwcnf,30.023679685580937,4,0
wuf50-0225.mwcnf,78.1164303586322,16,0
wuf50-0610.mwcnf,74.19299087854057,10,0
wuf50-0680.mwcnf,55.27186647408121,0,0
wuf50-0767.mwcnf,100.0,100,0
wuf50-0994.mwcnf,56.817320703653586,2,0
wuf50-0796.mwcnf,74.64037635033104,9,0
wuf50-0747.mwcnf,61.716399506781755,0,0
wuf50-024.mwcnf,45.92336751214248,7,0
wuf50-0975.mwcnf,53.525151515151514,1,0
wuf50-0701.mwcnf,48.2349750178444,0,0
wuf50-0490.mwcnf,60.50026766595289,1,0
wuf50-0305.mwcnf,53.540226305408495,0,0
wuf50-0637.mwcnf,47.61069020064941,0,0
wuf50-0724.mwcnf,63.53165403477485,0,0
wuf50-0826.mwcnf,51.6829044117647,21,0
wuf50-0629.mwcnf,33.827671402100066,4,0
wuf50-0590.mwcnf,47.612807148175726,1,0
wuf50-0454.mwcnf,56.9349087893864,6,0
wuf50-0561.mwcnf,57.34466896665024,0,0
wuf50-0702.mwcnf,70.70139860139861,8,0
wuf50-0212.mwcnf,33.45893099803715,2,0
wuf50-0303.mwcnf,51.461019108280254,3,0
wuf50-0173.mwcnf,45.83089311859443,4,0
wuf50-0250.mwcnf,69.99790079769687,0,0
wuf50-0460.mwcnf,60.736459378134406,4,0
wuf50-0290.mwcnf,67.20279232111693,1,0
wuf50-0595.mwcnf,55.678814892501315,0,0
wuf50-0517.mwcnf,67.1856611430504,1,0
wuf50-0649.mwcnf,57.41645381013197,0,0
wuf50-078.mwcnf,61.349904397705544,58,0
wuf50-0448.mwcnf,29.323529411764703,1,0
wuf50-0895.mwcnf,58.39115250291035,3,0
wuf50-0119.mwcnf,62.715859030837,6,0
wuf50-0175.mwcnf,70.69842775820005,1,0
wuf50-0783.mwcnf,42.172962226640166,17,0
wuf50-0442.mwcnf,21.736,4,0
wuf50-0247.mwcnf,55.64840482733899,0,0
wuf50-0182.mwcnf,56.35716212570812,3,0
wuf50-0967.mwcnf,58.09592843923504,0,0
wuf50-0282.mwcnf,52.88948694457169,2,0
wuf50-0137.mwcnf,50.66478873239436,0,0
wuf50-0163.mwcnf,61.26315789473684,11,0
wuf50-032.mwcnf,29.798033483922403,4,0
wuf50-097.mwcnf,48.81832460732984,0,0
wuf50-0555.mwcnf,59.992910195813636,0,0
wuf50-014.mwcnf,55.87449442333619,0,0
wuf50-0560.mwcnf,55.70254023657165,0,0
wuf50-0224.mwcnf,41.487153618509545,0,0
wuf50-0362.mwcnf,52.11743210696786,0,0
wuf50-0939.mwcnf,52.2841918294849,0,0
wuf50-0715.mwcnf,51.76826568265683,0,0
wuf50-0566.mwcnf,60.31893382352941,31,0
wuf50-033.mwcnf,45.7552930167271,1,0
wuf50-0661.mwcnf,55.67788710512687,0,0
wuf50-0265.mwcnf,68.09134037573534,1,0
wuf50-0835.mwcnf,66.11355702094647,1,0
wuf50-0988.mwcnf,58.96994455792238,4,0
wuf50-0341.mwcnf,46.227675528289026,8,0
wuf50-0876.mwcnf,54.76756858323938,0,0
wuf50-0752.mwcnf,53.30902177670239,1,0
wuf50-0361.mwcnf,52.92917516758963,0,0
wuf50-0874.mwcnf,70.48582722715003,5,0
wuf50-0997.mwcnf,58.19709543568465,0,0
wuf50-0412.mwcnf,50.56353767560664,1,0
wuf50-0308.mwcnf,41.09677419354839,6,0
wuf50-0388.mwcnf,45.48738461538462,0,0
wuf50-0808.mwcnf,48.62134640769376,0,0
wuf50-0935.mwcnf,55.563937184520476,2,0
wuf50-0353.mwcnf,53.33778894472361,0,0
wuf50-0242.mwcnf,67.60624142251925,0,0
wuf50-0829.mwcnf,77.53731172980375,2,0
wuf50-0452.mwcnf,79.93011161846778,18,0
wuf50-0477.mwcnf,68.63435096714052,0,0
wuf50-0415.mwcnf,53.02114427860696,0,0
wuf50-0720.mwcnf,63.12165660051769,16,0
wuf50-0727.mwcnf,55.46438172043011,19,0
wuf50-0139.mwcnf,52.9011030810194,11,0
wuf50-0223.mwcnf,65.78486997635933,8,0
wuf50-0834.mwcnf,48.30460317460317,0,0
wuf50-0634.mwcnf,50.14271047227926,6,0
wuf50-0188.mwcnf,70.62903225806451,0,0
wuf50-0534.mwcnf,71.90592189310097,13,0
wuf50-0956.mwcnf,64.10898775753957,2,0
wuf50-0487.mwcnf,56.9400821815465,0,0
wuf50-0395.mwcnf,70.72595955427155,8,0
wuf50-0573.mwcnf,50.073217495506285,0,0
wuf50-0345.mwcnf,49.65475152571928,6,0
wuf50-046.mwcnf,62.2138202031819,0,0
wuf50-0472.mwcnf,50.81634672471799,0,0
wuf50-0894.mwcnf,68.7678198061205,0,0
wuf50-077.mwcnf,32.23682890115404,4,0
wuf50-0848.mwcnf,55.74311857796445,0,0
wuf50-0207.mwcnf,47.60964369239235,0,0
wuf50-0815.mwcnf,46.36081341027755,2,0
wuf50-0219.mwcnf,57.55517839631892,3,0
wuf50-0831.mwcnf,50.564486198097896,0,0
wuf50-0274.mwcnf,59.85276073619632,17,0
wuf50-0405.mwcnf,40.04869332142059,0,0
wuf50-065.mwcnf,37.733818597017056,0,0
wuf50-0626.mwcnf,55.87769516728625,2,0
wuf50-0314.mwcnf,55.562175563647635,1,0
wuf50-0938.mwcnf,59.72022382094325,2,0
wuf50-0213.mwcnf,59.85427929295997,2,0
wuf50-0993.mwcnf,69.00196463654224,23,0
wuf50-091.mwcnf,49.62178148921364,2,0
wuf50-0391.mwcnf,58.42687559354226,10,0
wuf50-0736.mwcnf,52.76246062627385,0,0
wuf50-044.mwcnf,56.88330120904153,5,0
wuf50-0663.mwcnf,41.86914936914937,1,0
wuf50-0576.mwcnf,64.71068027991281,4,0
wuf50-0547.mwcnf,45.85156651258346,2,0
wuf50-0210.mwcnf,48.01114888511149,14,0
wuf50-0853.mwcnf,54.24931255728689,30,0
wuf50-070.mwcnf,59.84640128669079,4,0
wuf50-0682.mwcnf,52.76752136752137,0,0
wuf50-0844.mwcnf,100.0,100,0
wuf50-0586.mwcnf,61.89322191272052,13,0
wuf50-0276.mwcnf,73.25398550724637,3,0
wuf50-0750.mwcnf,66.69027492819039,12,0
wuf50-0260.mwcnf,58.10047925962651,0,0
wuf50-0966.mwcnf,46.41339869281046,0,0
wuf50-0337.mwcnf,54.001116694584034,17,0
wuf50-0216.mwcnf,40.380882912596725,0,0
wuf50-0349.mwcnf,49.262962962962966,11,0
wuf50-0746.mwcnf,53.9006237006237,0,0
wuf50-0714.mwcnf,66.93889776357828,1,0
wuf50-0383.mwcnf,50.13940973681998,9,0
wuf50-0431.mwcnf,47.66626959247649,0,0
wuf50-076.mwcnf,56.601238685088134,0,0
wuf50-0186.mwcnf,80.39131693198264,13,0
wuf50-0422.mwcnf,58.66444197256211,1,0
wuf50-0742.mwcnf,50.21810372255806,0,0
wuf50-0662.mwcnf,37.557272421901246,1,0
wuf50-05.mwcnf,56.25302695536898,0,0
wuf50-043.mwcnf,63.01897223269255,9,0
wuf50-0681.mwcnf,65.0442539067902,31,0
wuf50-0447.mwcnf,100.0,100,0
wuf50-037.mwcnf,42.62421749239849,9,0
wuf50-0778.mwcnf,41.163656039290764,1,0
wuf50-0479.mwcnf,67.43583344279521,9,0
wuf50-0837.mwcnf,37.429142565498466,5,0
wuf50-050.mwcnf,64.36412395709178,3,0
wuf50-0613.mwcnf,64.0884009009009,1,0
wuf50-0169.mwcnf,54.554122326131356,0,0
wuf50-0820.mwcnf,53.24626074667295,14,0
wuf50-0578.mwcnf,64.67603384959284,10,0
wuf50-0532.mwcnf,50.43376570319681,2,0
wuf50-0536.mwcnf,60.4882474729022,2,0
wuf50-0849.mwcnf,68.77588466579292,12,0
wuf50-0365.mwcnf,47.04702529390809,0,0
wuf50-07.mwcnf,50.75423197492163,1,0
wuf50-0218.mwcnf,46.97321782832959,4,0
wuf50-0705.mwcnf,57.66319321794419,0,0
wuf50-0953.mwcnf,56.36508781266632,0,0
wuf50-0449.mwcnf,74.85865724381625,3,0
wuf50-0667.mwcnf,22.90926640926641,19,0
wuf50-059.mwcnf,77.79261954261955,8,0
wuf50-0734.mwcnf,51.809760956175296,17,0
wuf50-0190.mwcnf,50.45306743946166,0,0
wuf50-066.mwcnf,50.01388032078964,5,0
wuf50-0689.mwcnf,48.897846770155226,3,0
wuf50-0333.mwcnf,41.61248966087676,5,0
wuf50-0136.mwcnf,48.52260013425823,0,0
wuf50-082.mwcnf,60.8291179260196,0,0
wuf50-0384.mwcnf,52.195891634415005,5,0
wuf50-0541.mwcnf,40.83211009174312,16,0
wuf50-017.mwcnf,63.39525909592062,1,0
wuf50-0399.mwcnf,40.5864406779661,0,0
wuf50-0301.mwcnf,65.76008230452675,19,0
wuf50-0863.mwcnf,51.95013850415513,27,0
wuf50-0369.mwcnf,69.63136456211814,45,0
wuf50-0957.mwcnf,58.923994038748134,18,0
wuf50-0523.mwcnf,38.83409373703857,2,0
wuf50-0104.mwcnf,40.689948088721096,0,0
wuf50-0858.mwcnf,62.061972800826304,0,0
wuf50-0468.mwcnf,49.53188073394495,0,0
wuf50-0402.mwcnf,50.00920810313076,6,0
wuf50-0551.mwcnf,67.1679290196927,2,0
wuf50-0114.mwcnf,66.56194852941177,1,0
wuf50-0755.mwcnf,67.6692710908911,0,0
wuf50-0713.mwcnf,42.3455451112718,1,0
wuf50-0529.mwcnf,71.27500285746943,0,0
wuf50-0258.mwcnf,65.05046895935686,41,0
wuf50-0238.mwcnf,46.06564602180469,0,0
wuf50-0445.mwcnf,59.69210156947812,0,0
wuf50-0886.mwcnf,43.681871720740986,0,0
wuf50-0819.mwcnf,68.5308796007486,8,0
wuf50-0131.mwcnf,48.91050487594124,2,0
wuf50-0205.mwcnf,55.33668115724779,0,0
wuf50-0766.mwcnf,38.847750521402325,1,0
wuf50-0569.mwcnf,75.19482120838471,35,0
wuf50-058.mwcnf,52.9951059111417,0,0
wuf50-0855.mwcnf,49.10849909584087,47,0
wuf50-0932.mwcnf,65.31187859759288,2,0
wuf50-0360.mwcnf,56.23248308172827,0,0
wuf50-0990.mwcnf,54.59796806966619,0,0
wuf50-020.mwcnf,41.79351827504602,0,0
wuf50-0539.mwcnf,74.91462835431014,1,0
wuf50-0117.mwcnf,54.78414974113899,0,0
wuf50-0942.mwcnf,71.85888077858881,38,0
wuf50-0241.mwcnf,88.21515451842508,87,0
wuf50-0722.mwcnf,64.84741000877963,0,0
wuf50-0371.mwcnf,50.40193452380952,2,0
wuf50-0748.mwcnf,46.19668416030534,0,0
wuf50-0843.mwcnf,55.86617842876165,0,0
wuf50-0494.mwcnf,50.06344616431366,2,0
wuf50-0429.mwcnf,65.56586185819071,20,0
wuf50-025.mwcnf,75.26804123711341,34,0
